occurrence_no,lng,lat,mid_ma
30261,6.516667,46.833332,138.3
30690,6.516667,46.833332,106.75
40163,-74.683334,39.971943,57.6
40167,-74.683334,39.971943,57.6
40168,-74.683334,39.971943,57.6
137487,99.599998,43.299999,77.05
146083,-65.940002,-17.687,68.3
147094,-107.199997,35.700001,77.05
149325,-106.099998,47.799999,68.3
149326,-106.099998,47.799999,68.3
149587,-65.26667,-24.299999,68.3
149621,164.956665,-21.336666,0.00585
149853,-1.381643,50.62413,126.23
149861,-1.468,50.654499,126.23
149862,-1.468,50.654499,126.23
149864,-1.466667,50.650002,127.2
149865,-1.371725,50.617706,125.93
149926,-3.966667,30.9,99.4
150083,111.566666,22.766666,0.39635
150323,-86.519997,31.366667,44.55
150469,24.733334,-30.316668,196.05
150609,36.033333,32.016666,69.05
150856,101.331947,43.938889,92.05
150901,87,23.5,0.063
151804,68.727776,23.505556,41.25
151805,68.727776,23.505556,41.25
168759,-107.572304,43.9524,53.05
203975,-108.699997,49.599998,63.8
205062,-106.753609,49.424999,63.8
206351,-111.26667,39.183334,62.5
207924,167.433334,-22.666668,0.00585
211735,-102.800003,46.900002,53.05
211736,-102.800003,46.900002,53.05
211737,-102.800003,46.900002,53.05
211999,35.792,4.25,2.1905
212044,35.792,4.25,1.2935
212059,35.766998,4.189,2.197
212061,35.766998,4.189,2.197
212158,36.067001,2.883,4.917
212159,36.067001,2.883,4.917
212177,36.067001,2.883,3.094
212178,36.067001,2.883,3.094
212189,36.132999,2.55,4.4665
212206,36.083,2.367,4.4665
212207,36.083,2.367,4.4665
212228,35.950001,3.367,0.06885
212231,35.783001,4.217,1.2935
212232,35.783001,4.217,1.2935
212302,36.241001,3.9,2.67235
212304,36.241001,3.9,2.67235
212306,36.241001,3.9,2.67235
212323,36.317001,3.975,1.29985
212325,36.317001,3.975,1.29985
212327,36.317001,3.975,1.29985
212463,36.266899,4.3083,1.6845
212682,36.283298,4.2583,1.6845
212685,36.283298,4.2583,1.6845
212687,36.283298,4.2583,1.6845
212698,36.262501,4.2375,1.6845
212701,36.262501,4.2375,1.6845
212703,36.262501,4.2375,1.6845
212716,36.233898,4.2875,1.6845
212719,36.233898,4.2875,1.6845
212721,36.233898,4.2875,1.6845
212744,36.4417,3.7667,2.67235
212747,36.4417,3.7667,2.67235
212749,36.4417,3.7667,2.67235
212775,36.2836,4.2417,1.6845
212778,36.2836,4.2417,1.6845
212780,36.2836,4.2417,1.6845
212806,36.325298,3.7836,2.197
212809,36.325298,3.7836,2.197
212811,36.325298,3.7836,2.197
213023,144.867004,-15.4833,0.00585
213024,144.867004,-15.4833,0.00585
213535,36.412498,-1.5764,1.29985
213561,16.5,-28.25,13.789
214257,18.8794,15.9694,3.094
214306,35.345798,-2.9875,1.6845
214328,35.344398,-2.9861,1.6845
216769,34.3167,-2.979,1.2935
216820,34.3167,-2.979,1.2935
216944,34.617001,0.166,14.895
216968,29.549999,0.133,2.1905
217300,40.466702,10.5167,4.4665
217340,40.583302,10.5,3.057
217410,31,1.5,1.80585
217500,33.8167,-3.917,7.604
217851,36.0667,2.3167,3.9605
217852,36.0667,2.3167,3.9605
217913,36.0667,2.8833,7.104
217914,36.0667,2.8833,7.104
218028,36.1833,2.5167,1.80585
218082,31,1.5,3.9605
218173,36.200001,0.65,1.29985
218199,36.200001,0.65,1.29985
218224,36.200001,0.65,1.29985
218240,34,-10.167,3.9605
218279,36,0.5,0.39635
218313,35.8167,0.8417,13.795
218384,35.666698,0.5,6.2895
218409,36,0.5,0.39635
218445,35.833302,0.6667,4.4665
218459,35.833302,0.6667,4.4665
218483,35.849998,0.9,12.72
218507,35.849998,0.9,12.72
218520,36,0.5,0.39635
218527,36,0.5,0.39635
218533,35.8167,0.8417,13.795
218560,35.833302,0.8333,6.2895
218615,35.666698,0.5,6.2895
218730,35.334702,-2.989,1.2935
218731,35.334702,-2.989,1.2935
218732,35.334702,-2.989,1.2935
218748,36.241699,3.5917,4.4665
218754,36.241699,3.5917,4.4665
218850,29.616699,0.0333,2.67235
219096,42.2775,11.0578,1.29985
219100,42.2775,11.0578,1.29985
219168,37.5,5.25,1.6845
219210,37.5,5.25,1.6845
219291,18.869499,15.9692,3.094
219306,18.8794,15.9694,3.094
219308,18.8794,15.9694,3.094
219542,35.966702,-2.3333,1.6845
219557,35.966702,-2.3333,1.6845
219570,35.966702,-2.3333,1.29985
219663,35.966702,-2.3333,1.6845
219678,35.966702,-2.3333,1.6845
219691,35.966702,-2.3333,1.29985
219734,30.25,30.4167,6.2895
219806,35.3736,-2.9806,2.197
219810,35.3736,-2.9806,2.197
219823,35.344398,-2.9861,1.2935
219833,35.337502,-2.9916,1.2935
219834,35.337502,-2.9916,1.2935
219850,35.337502,-2.9916,1.2935
219851,35.337502,-2.9916,1.2935
