r_number,lat,lng,mid_ma
2655,-21.15,-175.2,3.95
1092,-19.0333,-169.9167,11.3
3970,21.5667,-158.2667,0.05
3986,-19.9833,-158.1167,0.45
3969,21.6167,-158.0667,0.05
3255,21.3333,-157.9667,0.05
3971,21.45,-157.7167,0.05
3985,-19.8167,-157.7167,0.05
3987,-20.15,-157.3333,0.4
2080,-16.5,-151.7167,3.95
2652,-22.45,-151.35,8.45
3906,-24.3667,-128.3167,0.45
3990,25.3,-110.95,0.05
1140,30.9167,-96.0833,138.95
2881,17.1167,-92.8833,25.55
821,15.8,-88.7667,19.5
3943,18.1167,-87.8167,0.05
3814,20.5778,-87.1208,0.05
3597,9.9833,-83.0833,3.3
3601,9.1333,-81.9,13.8
2044,12.5333,-81.7,19.5
2045,12.5333,-81.7,14.9
2046,12.5333,-81.7,7.1
3752,19.3333,-81.25,0.05
2732,19.3167,-81.1667,19.6
3981,19.65,-80.1,0.05
645,26.5,-78.8,2.65
3242,18.4667,-77.4,2.65
3800,18.5,-77.3333,0.05
3566,18.3667,-77.1167,35.95
3567,18.2167,-77.1,35.95
3240,18.1861,-76.4347,2.65
3241,18.1847,-76.4181,2.3
3239,17.8833,-76.2806,3.1
3595,20.1333,-75.2,28.45
3801,24.0333,-74.5167,0.05
1949,-44.85,-71.5,148.55
786,19.6667,-71.4,8.45
3902,19.5333,-71.3,7.1
414,-38.7,-70.2833,160.4
569,-35.9167,-69.7833,160.4
3238,18.4167,-69.5167,0.05
3751,12.2833,-69.0667,0.05
1352,18.1667,-67.9167,8.45
1350,18.5167,-67.0333,13.8
1351,18.5167,-67.0333,8.45
1347,17.9833,-66.9167,25.55
644,18.05,-66.75,25.55
1349,18.0167,-66.6333,13.8
1348,18.4167,-66.5,25.55
703,17.6667,-64.8333,17.1
3952,32.2667,-64.7667,0.05
3819,11.85,-64.6167,0.05
757,17.6833,-61.8,13.8
2072,17.0333,-61.6833,27.05
3820,13.0667,-59.5333,0.05
2028,33.05,-16.3333,8.45
2062,33.05,-16.3333,13.8
2855,30.6167,-9.7667,154.7
388,32.55,-9.6667,160.4
2751,39.1958,-9.0514,160.4
497,38.95,-9.05,154.7
499,37.15,-8.1,154.7
3482,37.1667,-7.9667,157.3
353,31.6833,-6.2667,186.75
389,33.85,-5.6667,186.75
3583,33.65,-5.6167,8.45
387,33.5333,-5.1667,186.75
354,33.5,-5,186.75
356,32.6833,-4.7167,176.5
375,32.1597,-4.3597,169.7
355,34,-4.1667,186.75
1238,43.4667,-3.9333,97.2
1472,36.95,-3.7528,9.45
1473,37.15,-3.5333,9.45
352,32.2667,-3.4333,186.75
2000,34.1833,-3.25,8.15
377,33,-3,169.7
3582,35,-2.65,6.3
406,42.2333,-2.6333,154.7
