lng,lat
-25.8060,-25.6494
-148.3455,32.2148
-13.8617,14.6526
-33.3508,-46.9645
-63.2553,19.4322
-129.3259,67.9943
-56.2787,-63.7319
-79.1482,58.2877
-179.4146,-30.9721
-13.6776,28.6476
-65.3890,29.2464
-110.8739,-36.0769
-12.7408,11.4226
-89.8822,61.4297
-72.1268,7.0343
-60.2546,36.9106
-31.5721,43.4796
-84.9077,-42.1464
-153.0384,12.8283
-87.4858,28.8280
-63.1840,35.4410
-132.4623,-18.9886
-98.1829,24.2114
-57.2919,13.5364
-177.2133,-37.6888
-72.8521,23.1941
-75.6208,-81.2613
-86.4973,2.1294
-78.5410,37.9576
-81.2806,-38.4215
-171.9490,43.8437
-148.4680,11.3015
-163.1983,-65.2202
-113.6283,34.5809
-21.9955,49.7225
-13.0482,14.0134
-29.2103,38.7444
-129.0989,26.9506
-36.7356,22.7052
-67.9477,-0.5711
-95.7541,-81.7862
-88.1548,46.2283
-43.7667,9.4010
-133.0702,40.5417
-107.0359,-56.1953
-138.6786,57.7140
-166.3830,-62.3729
-59.7427,-0.6072
-72.9771,-47.9639
-32.8354,63.0746
-51.3350,-72.6973
-10.9329,-6.6402
-126.0331,-73.4780
-42.3253,-19.5361
-22.2438,-30.5772
-47.5345,-18.8103
-111.4013,-26.4923
-56.3580,35.1868
-102.8992,-35.7319
-38.4996,-46.4284
-85.5689,15.4623
-136.8526,-12.4677
-10.4990,-35.8804
-163.3916,-40.1400
-12.3391,2.6637
-25.0593,-8.6057
-49.4459,32.8685
-102.3198,27.0145
-64.1007,-32.1878
-94.6532,-19.5620
-29.8614,6.7411
-53.3382,-34.7355
-76.7182,40.7470
-107.7983,-0.9506
-37.1917,-26.4384
-51.9103,3.8187
-74.4712,-31.4343
-155.2705,46.9422
-25.5741,78.1967
-143.7782,-25.3710
-20.5389,16.0462
-54.6493,27.8438
-103.5045,-76.0830
-41.8211,-32.4748
-137.7291,69.8201
-161.8573,34.4232
-71.5292,-37.7979
-39.2466,-23.3488
-78.4041,-46.0866
-24.9948,-49.5318
-67.3923,7.9141
-69.9896,-2.5848
-143.4619,12.7759
-131.3359,-42.8698
-55.3560,-41.7490
-143.9878,-21.2372
-52.1186,-30.7970
-83.5044,31.8346
-167.7116,-36.4319
-18.5793,-32.0541
-61.0899,-30.5154
-124.0992,14.8612
-151.8383,32.2253
-162.7978,-43.4578
-12.3497,46.6799
-95.0962,86.3045
-30.9253,-18.8535
-59.3675,40.3212
-121.4591,-22.3498
-117.2917,38.4589
-114.5854,-35.5246
-26.9041,-22.9440
-4.3608,-0.7678
-163.9380,-20.2826
-69.3491,30.0606
-84.6247,27.6124
-125.2697,4.3200
-55.4727,35.8968
-74.4327,-39.4735
-80.2568,12.7600
-141.8970,-30.8849
-83.2132,32.8725
-118.5190,37.8595
-62.4156,19.0556
-47.9285,-31.1195
-164.7914,-13.5908
-73.8011,-13.2190
-133.5192,-18.7684
-131.8837,-83.9697
-10.6957,-46.5392
-169.5730,54.8421
-154.0592,-67.9780
-105.0850,-62.9059
-39.1722,-19.0173
-56.0336,-59.9002
-157.4825,-4.3735
-40.6970,12.0951
-62.7604,12.2321
-79.9331,-42.2544
-114.3519,-27.8069
-160.8314,9.9473
-88.4083,15.3643
-142.6102,26.3192
-24.1480,19.7110
-88.4653,56.3658
-90.3398,-19.0900
-10.5002,-18.8888
-147.8941,-2.5785
-160.3589,29.4066
-146.5501,-46.0680
-76.5054,-19.9679
-81.6548,-8.9527
-55.8374,2.7134
-60.9328,-6.7280
-164.8748,29.3408
-43.8171,7.1555
-33.9324,68.1238
-103.0140,31.1906
-43.6420,14.8172
-26.2169,30.8639
-126.1229,-16.7118
-121.0820,78.1058
-24.2019,5.3714
-57.0347,-3.5201
-129.7119,32.4630
-95.3003,34.8597
-120.5186,-58.0204
-44.5308,-23.7928
-27.9440,5.5461
-107.4292,79.2210
-161.2047,-17.0137
-46.2728,-35.0849
-152.4354,-0.0681
-161.5952,25.7249
-96.9936,59.1702
-93.3571,-3.9905
-4.9737,43.8469
-26.9362,47.2955
-135.9212,17.3589
-4.1290,3.0222
-116.0797,0.9468
-87.9931,-33.6354
-169.2884,-7.8492
-143.9850,9.7191
-170.4699,66.8911
-4.1571,-15.0246
-79.2376,-15.6994
-108.7821,-16.0402
-59.2111,54.7681
-93.6883,-6.2845
-120.7280,3.6507
-65.5416,53.2474
-8.0196,62.6993
-3.3203,20.7476
-132.5402,-23.6546
-145.4356,-72.6642
-76.5906,-10.0548
-159.9540,70.4371
-110.6096,-27.3008
-91.2815,71.7212
-66.1277,68.5318
-160.4491,37.9365
-71.5854,-34.8912
-91.9690,-1.2615
-179.3593,-72.7489
-47.8424,22.0140
-25.0699,-6.3501
-131.9910,1.0766
-110.2373,-29.1257
-65.5886,-64.3644
-150.2722,4.4103
-72.6183,-34.4202
-142.0330,29.1587
-114.5384,-50.7996
-104.5156,16.0215
-130.9788,33.9430
-1.7723,1.3557
-143.0509,-17.4749
-42.9877,-1.5593
-149.3320,56.4470
-14.1453,-36.9473
-20.4272,-11.1884
-101.4191,-11.4598
-88.1835,16.4431
-8.3288,7.9209
-132.7765,72.6843
-96.0835,10.2106
-69.6665,-50.8673
-16.3828,6.4775
-122.8642,9.9504
-92.0768,70.6069
-26.8672,36.2465
-56.9013,-0.1049
-93.7311,42.3218
-83.0577,5.6715
-107.7490,81.3676
-87.0156,-54.0102
-45.5398,-50.4065
-110.2363,-9.7233
-119.6566,-1.7260
-90.5081,47.8345
-13.3154,69.4232
-146.4380,58.5859
-115.6254,-49.8517
-43.4636,-23.2961
-148.4268,-48.6170
-3.6776,2.2477
-110.4111,2.6601
-128.9100,15.2892
-143.7656,-42.6101
-167.4248,-7.5820
-26.9623,72.1916
-78.5535,-68.0113
-59.8604,-46.1617
-42.9153,1.9594
-171.9879,-26.8454
-173.6412,-14.1303
-92.2061,61.0962
-3.2790,10.1763
-30.5212,57.5425
-43.3596,-54.5892
-114.9367,25.8658
-47.5127,-40.1410
-32.9514,-59.8055
-37.9556,-6.9530
-32.4001,-32.5033
-140.3847,57.7909
-121.3999,-24.0436
-126.9805,4.1417
-152.4962,25.4090
-0.8946,-3.8223
-27.1349,-60.6911
-162.9584,-19.5722
-150.2498,75.7682
-174.6331,7.0700
-79.3588,-6.8288
-19.1246,12.7339
-60.9576,-57.0333
-38.0205,-11.6330
-138.5385,-27.4673
-89.5585,29.2565
-66.3815,-21.4427
-78.7537,-57.7152
-139.9782,41.4124
-85.9709,-18.5063
-16.8274,63.7390
-120.8236,-68.2379
-54.7644,-48.4971
-105.8925,38.8409
-112.4741,-39.3155
-67.1268,11.8716
-13.5525,-7.5070
-25.1863,57.8734
-110.5461,-0.3213
-129.4794,-26.0073
-172.6622,-72.7363
-107.7863,-23.2098
-54.3571,-9.9525
-42.6226,45.4095
-37.1693,-46.0497
-63.1120,-47.6042
-153.2519,-14.5170
-153.5378,29.7415
-49.6222,13.7537
-146.8726,30.7890
-174.9766,20.4451
-139.8015,-33.2690
-174.5891,22.3013
-109.9644,12.3384
-175.3635,61.5252
-98.9141,3.9986
-70.2220,38.2240
-177.9245,17.0339
-39.9620,24.4051
-38.8494,1.8790
-45.9173,3.7518
-160.8825,-46.0368
-121.0099,38.8239
-11.9207,-28.9137
-108.5141,19.7781
-117.9731,5.0702
-52.1095,40.9081
-0.8538,54.5038
-4.5166,44.8854
-106.4687,-8.2733
-142.0097,49.1763
-118.7210,-4.0613
-90.4952,24.8201
-43.7708,43.6304
-94.6616,38.1283
-175.8360,-45.8181
-51.3462,-9.5306
-7.4410,57.6703
-129.3638,77.3690
-137.8902,-12.1938
-170.2538,25.5041
-168.6781,-1.5292
-5.7549,60.3398
-7.1287,31.4061
-38.6781,13.1194
-143.7260,2.1740
-145.4250,29.3285
-44.2316,25.4263
-119.7830,-10.5351
-146.9631,-45.0514
-21.7056,-52.7688
-58.5792,32.0548
-59.0228,-5.7084
-26.5204,-46.7561
-46.6873,45.5607
-176.5522,-8.8068
-123.3332,50.4380
-156.5302,23.4400
-177.4027,-13.4531
-149.3241,40.6933
-139.7238,-4.2342
-84.2820,-22.1498
-132.0751,76.4341
-18.2658,-15.1416
-133.2455,27.6199
-119.8008,39.4433
-22.6693,46.4137
-113.8683,-67.2526
-38.8168,73.8010
-60.3705,-49.2994
-144.3776,-44.4575
-102.8407,-66.4472
-47.7423,10.5347
-64.4443,-52.4451
-39.5025,-37.5927
-146.6534,-8.7801
-22.1755,-15.6027
-88.5110,-66.0609
-59.6478,1.6267
-6.5514,-22.1608
-40.0191,-47.8248
-65.2752,60.3514
-135.3074,20.2806
-150.1206,-55.5155
-173.2150,61.2072
-24.6461,52.1223
-19.8448,-19.6076
-33.0175,-42.5813
-162.2877,-58.4681
-139.2533,32.0774
-107.2443,7.2144
-118.2919,65.8939
-101.0501,-9.2335
-47.8543,-47.3158
-119.9110,7.2278
-98.8645,-19.9219
-29.9154,82.6645
-163.2757,35.7892
-13.0733,44.5112
-78.4928,-18.6732
-44.4678,-51.1529
-150.2354,54.6572
-19.4258,-24.0202
-74.2405,-82.4068
-16.3919,32.0688
-74.5015,-65.4696
-150.4970,5.5458
-37.8553,-57.6373
-88.9581,-31.9144
-84.0657,21.8418
-129.3271,10.2637
-157.7239,-41.8259
-18.7275,-51.6278
-51.4318,17.8222
-62.0519,8.6532
-20.4866,69.8860
-86.9807,-35.3622
-176.0327,-38.2702
-165.3577,61.7229
-172.7074,35.9353
-110.4674,-21.8929
-11.4605,9.2877
-170.6056,-30.8114
-40.7268,38.1388
-161.1572,2.8079
-56.0962,34.1378
-61.3517,44.1757
-124.6083,7.8632
-134.9453,50.0043
-116.0782,2.9408
-121.3773,-2.5401
-125.5123,-26.9163
-11.4956,24.1741
-61.6233,-21.9198
-3.3413,-14.3329
-21.5084,6.8333
-85.6744,-16.2026
-159.1072,-47.4844
-50.4364,-36.4089
-143.7239,20.4250
-148.8765,24.3051
-117.8272,-5.4436
-67.1862,-18.6803
-16.1296,33.2174
-67.3364,-34.7573
-52.8334,5.5221
-49.3917,-11.9322
-163.3123,3.5095
-114.8061,37.4022
-168.0083,14.0775
-101.0354,-55.3145
-136.3680,-52.2534
-89.3623,25.1899
-49.4963,-15.3556
-8.7191,-12.6847
-72.7979,28.4870
-141.9282,-8.3392
-173.4349,44.1217
-129.3440,19.6592
-140.8511,-20.9924
-157.5875,46.8255
-155.4011,-40.3645
-119.7859,-12.9262
-18.0334,-17.2300
-71.7005,12.1122
-124.8310,-10.4678
-21.2410,-14.9813
-101.4119,43.3641
-145.6323,-41.3527
-36.8605,31.8589
-25.1318,7.0520
-117.3843,-17.0817
-178.1452,7.1928
-59.9730,14.9158
-108.9731,11.7241
-104.8074,-19.7393
-36.1070,-81.4727
-160.1084,-36.9343
-177.6966,58.0025
-75.9124,39.8812
-163.2798,-54.8331
-129.8681,-29.6838
-153.7279,66.3882
-44.5863,-25.8681
-2.6942,-3.5032
-60.1609,10.8209
-98.8984,-25.9669
-137.6896,8.4391
-137.5694,-5.8831
-51.6511,38.7487
-172.6942,-68.2819
-130.6662,57.9246
-43.5415,-26.4101
-13.1095,81.0893
-84.8711,-41.0291
-94.3098,21.3642
-144.5110,-62.5298
-140.0404,79.2373
-28.8032,43.3920
-109.0071,-40.9195
-120.2774,19.4347
-54.9646,-62.7613
-24.7965,14.3637
-10.7097,-17.8177
-179.5096,-37.6012
-176.1057,12.2541
-148.6903,12.4610
-15.3476,-45.2816
-157.1333,-72.5277
-162.8348,38.6543
-44.9204,-73.5200
-124.3093,-8.0723
-159.7813,-69.5692
-162.7985,-50.3773
-116.0849,-5.5568
-130.7585,-32.3965
-62.1750,-39.3804
-30.9680,69.6635
-167.0248,-42.0508
-177.1196,48.6370
-34.5638,64.7961
-53.1790,25.3439
-70.9918,-3.0463
-136.3444,-35.7217
-51.9780,34.7895
-161.6154,21.6673
-177.6878,21.7135
-64.1346,18.8808
-124.8621,-77.2888
-19.1520,59.8919
-125.4507,-49.0591
-109.8751,36.2231
-71.4573,49.4252
-140.8019,49.0560
-5.1521,-7.5934
-53.1716,-31.1605
-139.0000,36.6867
-165.9588,73.8347
-89.3144,30.3538
-136.0778,58.4114
-49.5610,40.1687
-134.6935,-60.1852
-110.6326,-2.2329
-15.6625,54.9259
-121.8423,-10.4473
-95.6601,26.2291
-91.2481,-41.1188
-113.2343,-8.0192
-103.2248,8.0490
-107.9757,-41.8041
-69.7147,64.5881
-71.0548,32.3817
-80.8944,-1.9644
-50.7186,-37.3823
-175.5335,-14.3209
-145.4503,-45.2693
-81.8243,44.1005
-168.3305,-52.5447
-27.9206,-32.5236
-97.8382,-40.8411
-49.4546,18.8679
-149.3620,21.3019
-170.9332,-11.1697
-51.0222,-29.4700
-141.5852,-67.6138
-113.4309,42.3367
-131.0120,-24.8482
-150.5495,21.6824
-105.8778,-10.0563
-71.4885,-33.9271
-4.5767,-38.4910
-111.9564,45.9964
-67.3989,-6.7999
-122.5307,-25.8676
-69.8926,45.5396
-29.4544,51.8078
-3.2400,72.2289
-136.3056,-8.1453
-3.0262,39.1905
-92.4806,8.7889
-150.8437,32.9208
-141.9713,-46.6209
-169.6977,-14.7735
-178.3349,-58.9545
-157.0303,50.4792
-138.7053,84.1913
-136.9272,55.9223
-176.8323,74.0059
-150.0954,34.6164
-126.2203,42.6083
-150.3365,30.8381
-114.2440,-0.1256
-30.8781,-6.3962
-96.6710,-77.6570
-53.6310,-17.3258
-146.4871,39.0853
-125.9311,26.6579
-171.8673,23.8344
-91.4585,30.7697
-153.5953,-8.5009
-73.0862,-53.9787
-3.7396,-65.1985
-17.2321,12.5100
-148.4322,-16.9937
-161.4641,-8.7622
-69.6287,-11.1999
-82.2563,21.4414
-65.1559,-0.3469
-4.5880,0.0206
-121.5042,-71.7717
